event-id,timestamp,location-long,location-lat,external-temperature,gps:dop,height-raw,sensor-type,tag-local-identifier,individual-local-identifier
9710351826,2012-04-09 12:30,-111.358801,56.767739,-2.0,2.0,328.1,gps,32260,32260
9710338926,2012-04-10 04:45,-111.65114,57.267466,4.0,1.8,253.06,gps,32268,32268
9710445695,2013-06-11 15:15,-111.597584,60.118199,17.0,0.4,196.28,gps,33679,33679
9710366562,2014-02-15 10:50,-111.508584,56.70778,-8.0,5.0,341.49,gps,32261,32261B
9710348627,2013-01-28 06:30,-111.480139,57.350748,-7.0,1.6,303.44,gps,33668,32262_33668
9710400855,2012-04-16 16:45,-112.054438,57.256685,6.0,2.0,402.04,gps,32266,32266
9710364373,2014-01-31 06:00,-111.575614,56.754516,-3.0,2.2,392.84,gps,32261,32261B
9710351238,2013-03-24 01:30,-111.507583,57.367346,1.0,2.0,310.51,gps,33668,32262_33668
9710341030,2012-06-18 11:45,-111.788041,57.308449,16.0,2.2,280.82,gps,32268,32268
9710420276,2013-06-08 18:15,-111.932432,57.055732,16.0,1.8,397.03,gps,33681,33681
9710320586,2013-06-18 14:30,-111.208058,56.762884,19.0,1.6,389.41,gps,33677,33677
9710373601,2012-04-14 01:00,-111.598812,57.326961,9.0,1.8,295.99,gps,32262,32262_33668
9710415896,2013-03-01 10:50,-111.873537,57.471524,7.0,2.2,372.38,gps,33667,33667
9710469624,2012-11-08 07:00,-112.011648,56.574749,2.0,1.8,438.53,gps,32255,32255
9710396532,2013-04-19 21:30,-111.794354,57.439906,14.0,3.4,299.3,gps,32264,32264
9710395360,2013-03-29 07:00,-111.805801,57.501216,6.0,3.6,330.33,gps,32264,32264
9710458521,2012-04-19 21:15,-111.642881,57.178271,20.0,2.2,237.27,gps,32252,32252
9710370611,2014-03-15 14:10,-111.469933,56.707115,3.0,3.4,302.73,gps,32261,32261B
9710501936,2012-08-20 04:00,-111.291931,57.056289,20.0,2.0,346.18,gps,32258,32258
9710518944,2014-02-17 13:20,-112.760459,56.166344,-1.0,1.8,541.86,gps,33674,33674
9710504251,2013-02-05 22:00,-111.456241,57.026054,3.0,1.6,278.06,gps,32258,32258
9710361497,2014-01-11 06:30,-111.587624,56.666187,-4.0,1.6,341.3,gps,32261,32261B
9710519676,2014-03-04 19:20,-112.691116,55.998023,6.0,2.0,522.16,gps,33674,33674
9710455577,2012-06-16 15:31,-111.483496,56.566014,19.0,8.0,385.72,gps,32253,32253
9710371070,2014-03-18 18:40,-111.588048,56.689968,12.0,6.8,380.98,gps,32261,32261B
9710393242,2012-11-11 11:30,-111.829619,57.497452,-4.0,2.0,329.42,gps,32264,32264
9710345491,2013-01-16 22:20,-111.265132,56.958904,-9.0,2.2,312.26,gps,33669,33669
9710479154,2014-02-21 15:50,-111.573639,57.714751,-14.0,3.8,259.81,gps,32254,32254
9710510967,2013-02-12 11:30,-111.865518,57.159351,3.0,1.6,310.27,gps,33673,33673
9710477727,2014-02-11 18:00,-111.721458,57.434549,-8.0,2.2,293.49,gps,32254,32254
9710530485,2012-04-27 01:00,-112.034719,56.619225,22.0,0.6,441.36,gps,32270,32270
9710307342,2014-01-22 07:00,-111.333004,56.707124,-10.0,2.0,223.13,gps,13794,13794
9710340172,2012-05-31 19:00,-111.782837,57.308039,30.0,8.0,200.83,gps,32268,32268
9710529418,2012-04-09 17:15,-112.038274,56.651321,10.0,1.8,454.9,gps,32270,32270
9710332496,2014-02-16 00:50,-112.164106,56.979907,2.0,3.8,473.33,gps,33678,33678B
9710533122,2012-11-13 08:45,-111.780566,56.567319,1.0,2.0,429.98,gps,32270,32270
9710311983,2014-02-23 12:30,-111.37211,56.746233,-8.0,3.0,283.66,gps,13794,13794
9710519668,2014-03-04 15:20,-112.716751,56.012345,-1.0,3.4,535.82,gps,33674,33674
9710326330,2013-03-14 16:50,-111.952309,56.993004,-8.0,1.6,403.33,gps,33670,33670
9710459533,2012-06-16 15:00,-112.265847,57.257494,20.0,3.4,652.05,gps,32252,32252
9710375868,2012-07-12 16:00,-111.577539,57.423757,31.0,1.6,279.31,gps,32262,32262_33668
9710441350,2013-11-18 04:30,-111.473066,57.47628,-12.0,0.6,280.15,gps,32251,32251
9710345533,2013-01-17 19:20,-111.299774,56.983358,-8.0,3.6,334.47,gps,33669,33669
9710297683,2014-01-24 06:50,-111.932075,57.07246,13.0,2.2,387.64,gps,13790,13790
9710313622,2014-03-06 21:40,-111.327726,56.732601,11.0,2.2,332.23,gps,13794,13794
9710389110,2014-03-27 07:40,-111.509286,56.708721,-5.0,2.2,342.04,gps,32263,32263B
9710343093,2012-04-14 01:45,-112.259344,56.797144,9.0,1.8,446.52,gps,32269,32269_33678
9710469386,2012-10-07 10:00,-111.904726,56.78791,13.0,2.2,500.5,gps,32255,32255
9710330829,2014-02-04 10:50,-112.050193,56.770205,-18.0,0.6,484.06,gps,33678,33678B
9710305427,2014-02-01 12:10,-111.43561,56.96001,-13.0,2.6,208.35,gps,13792,13792
9710412792,2013-06-12 07:30,-112.154217,56.743788,14.0,2.0,481.35,gps,32267,32267
9710413008,2013-06-14 14:15,-112.500655,56.652914,18.0,2.2,517.7,gps,32267,32267
9710513487,2013-01-16 02:50,-112.207136,56.473257,-2.0,0.6,449.47,gps,33674,33674
9710408158,2012-08-05 22:01,-111.671487,56.679475,25.0,2.2,407.06,gps,32267,32267
9710478244,2014-02-15 08:10,-111.668216,57.449295,-13.0,2.2,275.93,gps,32254,32254
9710523084,2013-02-23 03:10,-112.090781,57.05252,0.0,0.6,397.71,gps,33675,33675
9710435275,2012-11-15 16:45,-111.403473,57.337508,-3.0,2.0,267.43,gps,32251,32251
9710438180,2013-04-19 21:00,-111.434655,57.361294,16.0,3.2,287.35,gps,32251,32251
9710358281,2013-03-10 18:40,-111.559048,56.809761,14.0,1.6,381.67,gps,32261,32261B
9710336046,2014-03-12 16:30,-112.225616,56.719791,7.0,2.2,472.94,gps,33678,33678B
9710500559,2012-06-10 09:15,-111.136736,56.856049,20.0,1.6,412.58,gps,32258,32258
9710426578,2013-06-20 09:15,-111.878893,56.562869,13.0,3.4,426.4,gps,33680,33680
9710435352,2012-11-16 12:00,-111.491391,57.350746,-4.0,2.2,301.24,gps,32251,32251
9710529369,2012-04-09 05:00,-112.041492,56.577658,6.0,0.6,167.29,gps,32270,32270
9710333964,2014-02-26 05:30,-112.183428,56.894738,-15.0,2.2,437.08,gps,33678,33678B
9710425591,2013-06-09 01:15,-112.155142,56.60817,14.0,1.8,455.05,gps,33680,33680
9710470332,2012-11-18 10:00,-112.008413,56.583327,5.0,3.2,380.93,gps,32255,32255
